"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Prediction"
"1",0.004043516,8.453375e-09,0.9999998,0.007388431,0.003740499,0.001568995,0.004967071,0.01367015,0.00282687,0.004668829,2
"2",0.9999992,2.944156e-08,0.005470853,6.157988e-05,9.097215e-06,0.005542941,0.002616399,0.005173241,0.0004222921,0.001846348,0
"3",5.740426e-06,0.00757002,6.644262e-07,0.0002297253,5.36466e-05,0.0002124181,0.004025944,0.03289929,3.336572e-06,0.005098953,7
"4",0.2443465,0.01788775,2.848475e-05,0.02901947,0.02263304,0.0001903643,0.0003152187,0.008423669,0.5159501,0.07095998,8
"5",1.173529e-07,1.18121e-08,0.1201813,0.9999952,8.716726e-07,0.0003221187,0.0003144285,0.0001254468,0.0002337139,4.159479e-05,3
"6",3.125557e-05,1.231283e-10,0.008312429,0.003905573,0.0007727315,0.001418295,4.99162e-06,0.9463852,0.001816551,0.02576856,7
"7",1,3.801907e-06,0.0001046672,0.0003241509,2.917196e-07,1e-07,3.172484e-05,7.013395e-07,0.0004007298,0.0001736779,0
"8",5.656672e-07,1.232375e-05,7.742647e-06,1,4.356477e-06,0.0005774475,8.539258e-07,1.274943e-06,1.46999e-06,0.003076963,3
"9",1,1.418238e-07,1.362264e-05,9.728517e-07,1.300223e-07,0.00140359,0.004838672,7.614446e-05,2.47629e-05,0.0004810647,0
"10",5.40771e-06,5.040799e-07,0.0005079463,0.9999996,0.000929513,0.0141437,0.0003414498,6.485191e-05,0.001718352,0.002624713,3
"11",1e-07,1.507099e-10,1e-07,0.0007735023,2.312176e-05,1,0.0001890182,3.605537e-05,4.961904e-05,0.0009450209,5
"12",1e-07,1.15978e-05,0.1804713,0.0002899599,1.338475e-06,2.422726e-06,2.965107e-06,0.9516305,4.985512e-06,0.01330816,7
"13",7.954083e-05,0.03054508,4.264109e-06,0.05625505,0.9360512,0.001466003,0.00011569,0.0006586995,0.01270544,0.0009952285,4
"14",1,5.604247e-07,5.720553e-05,0.0009770691,3.226846e-07,8.127191e-05,0.0004019249,0.0003977839,0.0003040605,0.002068806,0
"15",7.43399e-05,1.214293e-08,1.706106e-05,0.007332094,0.9999966,0.0004349727,2.271186e-05,0.005246696,0.0006305033,0.01451321,4
"16",0.0009638818,5.872737e-08,0.0001612969,0.9855877,0.001869108,0.05393045,0.0001216636,0.0005886678,0.0005142218,9.471298e-05,3
"17",0.001715267,2.766721e-08,0.02208902,0.934838,0.002507661,0.1389701,0.005436845,0.001213154,0.005163951,0.009965044,3
"18",5.00275e-05,0.9993969,1e-07,0.0007502444,0.004044597,6.40637e-05,0.002039611,0.000485276,1.531341e-07,0.0008678126,1
"19",2.2559e-07,1.350344e-05,1e-07,5.80452e-05,0.0009044943,3.437595e-05,1e-07,0.001196322,0.0004861332,0.9999979,9
"20",1,3.425071e-09,0.000141979,5.162393e-06,1e-07,1.076815e-05,3.9479e-05,1.730602e-05,0.0004621441,0.003729346,0
"21",0.0001464531,1.54559e-07,1e-07,0.0001140092,0.0006323619,0.0002989019,1e-07,0.007523925,0.0001273923,0.9999933,9
"22",0.0001484707,0.9993111,1e-07,1.841e-06,0.0003074249,5.08442e-05,0.0005743617,0.0003337977,6.509117e-07,6.858252e-05,1
"23",3.137634e-05,0.9838502,9.341726e-05,0.0001666146,0.0008208692,1e-07,5.362386e-06,0.0006871392,0.0008963212,0.0003331317,1
"24",1.902786e-05,1.612433e-05,4.54355e-05,0.0002546516,4.505118e-05,1,0.0005124006,0.001119177,0.0002934423,5.703873e-05,5
"25",6.820201e-06,6.808816e-07,5.266888e-05,0.0009586558,1e-07,4.698505e-06,1.455494e-07,1,1.561657e-05,0.001457745,7
"26",3.170311e-06,0.003018479,1.796441e-07,1.506207e-05,0.9971465,0.007125809,0.0001748262,0.009747753,6.072853e-06,0.01245539,4
"27",0.002282186,2.94398e-07,0.9758224,0.00902293,0.01121926,0.01425593,0.004255941,0.0174782,0.01516344,0.009710902,2
"28",0.0008805652,0.002529995,2.106422e-05,0.0004666131,0.0001194015,0.003619411,1e-07,0.9999884,9.520668e-05,0.2601084,7
"29",5.007813e-05,0.09347922,6.456542e-05,9.332269e-06,0.05070304,0.0277264,7.146195e-05,0.008173053,0.01001813,0.09748354,9
"30",1e-07,3.714099e-06,0.003602613,0.0005235771,1e-07,1e-07,1e-07,1,1.432056e-05,0.000225676,7
"31",7.299233e-05,5.838759e-06,0.002477956,0.00909605,1.678112e-05,0.001938894,5.747134e-05,0.9999918,2.391912e-05,0.01048188,7
"32",3.878805e-05,6.207897e-12,0.050465,1.442743e-05,0.0003714665,0.9999976,3.899118e-05,0.006928011,0.0162806,0.002305393,5
"33",2.088606e-05,3.175537e-07,5.610082e-07,0.001760323,0.9999999,0.001906136,0.0001609538,0.009820052,7.101414e-07,0.0005585837,4
"34",1e-07,1.780122e-07,0.9999999,0.007334503,1e-07,6.476646e-06,0.004541593,0.0001484802,0.002095986,2.79845e-06,2
"35",0.0002219749,1.318513e-07,0.002006901,9.524314e-06,8.328528e-05,0.0005265642,1,1e-07,0.0001501547,2.182695e-07,6
"36",0.0007819418,9.049504e-08,0.9894218,0.003000312,0.0001950986,0.007844668,0.001019565,0.0009083369,0.008671496,0.02310031,2
"37",3.610333e-07,0.06428331,1e-07,5.305411e-06,0.7000095,0.08359714,0.0002083641,1.197024e-05,0.08823594,0.02699431,4
