label,binlabel,pixel117,pixel125,pixel143,pixel154,pixel263,pixel279,pixel289,pixel291,pixel295,pixel334,pixel354,pixel380,pixel381,pixel403,pixel408,pixel409,pixel436,pixel449,pixel459,pixel474,pixel480,pixel481,pixel482,pixel492,pixel503,pixel511,pixel528,pixel537,pixel555,pixel584,pixel593,pixel596,pixel598,pixel614,pixel622,pixel642,pixel670,pixel695,pixel706,pixel708,pixel709,pixel710,pixel712,pixel713,pixel714,pixel715,pixel716,pixel717,pixel718,pixel719,pixel720,pixel721,pixel722,pixel723,pixel724,pixel733,pixel745,pixel746,pixel748,pixel749,pixel750,pixel751
0,1,0,254,0,253,77,0,253,0,0,0,26,0,0,0,0,0,0,0,0,0,0,254,253,0,0,253,1,206,2,0,0,253,253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,102,0,0,0,0,0,10,253,102,0,252,102,253,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,255,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,149,254,0,235,158,0,0,145,254,253,254,155,238,0,0,30,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,252,0,240,252,253,0,215,70,203,252,252,252,231,0,253,0,0,0,0,231,0,19,0,0,0,0,0,192,0,0,178,0,0,0,0,137,242,253,137,137,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,169,0,0,0,0,184,0,0,0,0,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,191,253,0,253,211,253,0,185,253,192,209,245,5,130,0,253,0,0,0,0,0,0,0,0,0,18,8,0,83,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,141,0,252,0,0,253,0,0,0,29,252,253,252,252,253,202,0,7,0,0,0,0,0,0,0,0,0,56,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,254,0,253,254,0,2,255,0,0,0,0,24,254,172,228,254,0,254,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,248,0,87,129,0,0,254,0,123,0,49,235,247,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,201,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,196,0,85,254,0,0,254,160,254,9,254,254,254,0,254,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,225,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,252,0,198,66,252,0,13,252,253,0,252,253,253,0,252,0,0,0,0,252,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,253,0,56,242,0,0,186,213,254,221,254,254,254,0,10,0,0,0,129,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,236,254,0,0,254,31,0,129,153,254,0,136,254,215,0,0,0,0,0,0,215,0,0,0,0,0,0,0,41,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,48,0,0,245,46,0,86,0,11,0,0,164,124,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,233,254,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,34,0,60,0,0,0,0,0,0,0,0,0,239,0,0,0,0,254,93,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,43,0,0,0,0,31,0,83,252,252,252,217,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,89,0,43,248,18,0,253,253,253,253,253,253,253,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,219,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,225,0,237,21,88,0,0,0,0,0,0,0,0,0,253,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,253,0,252,0,0,0,0,252,0,0,0,0,222,0,0,214,0,175,0,0,0,0,203,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,193,0,0,0,0,253,0,4,244,49,252,252,198,253,0,48,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,227,0,0,0,0,157,0,0,0,253,252,252,0,252,202,87,0,234,0,0,139,253,97,0,252,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,218,0,0,253,0,0,124,0,84,196,157,236,253,0,67,0,197,253,250,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,30,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,254,0,0,0,0,254,107,0,247,0,0,0,0,0,197,255,0,181,0,0,0,0,0,86,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,187,0,0,0,0,66,0,0,0,0,20,0,0,4,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,204,0,240,145,0,0,145,0,0,0,0,0,253,71,223,250,0,253,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,254,0,0,42,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,41,185,0,0,0,0,202,0,0,0,0,4,0,0,17,218,15,0,254,0,122,0,0,124,254,254,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,244,0,254,244,0,0,30,0,58,0,29,224,194,0,0,0,0,0,0,254,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,17,238,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,140,0,248,82,244,192,252,253,253,0,3,0,0,150,253,222,0,253,0,33,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
