label,binlabel,pixel117,pixel125,pixel143,pixel154,pixel263,pixel279,pixel289,pixel291,pixel295,pixel334,pixel354,pixel380,pixel381,pixel403,pixel408,pixel409,pixel436,pixel449,pixel459,pixel474,pixel480,pixel481,pixel482,pixel492,pixel503,pixel511,pixel528,pixel537,pixel555,pixel584,pixel593,pixel596,pixel598,pixel614,pixel622,pixel642,pixel670,pixel695,pixel706,pixel708,pixel709,pixel710,pixel712,pixel713,pixel714,pixel715,pixel716,pixel717,pixel718,pixel719,pixel720,pixel721,pixel722,pixel723,pixel724,pixel733,pixel745,pixel746,pixel748,pixel749,pixel750,pixel751
1,0,0,0,0,0,0,0,0,0,254,0,0,13,0,20,7,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,137,0,254,147,0,89,0,0,0,25,0,0,0,0,0,0,0,0,0,0,94,254,0,0,254,0,0,0,0,0,114,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,141,0,254,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,21,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,141,0,179,156,0,212,35,0,0,254,0,197,0,0,198,10,0,0,0,0,0,0,91,0,33,0,0,0,0,0,103,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,68,39,0,32,47,0,231,0,0,0,22,234,42,0,0,0,0,142,0,0,231,0,0,0,248,0,0,0,0,0,11,129,234,224,255,194,134,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,255,0,253,0,0,0,0,234,0,253,53,40,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,36,253,253,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,234,0,80,252,0,0,252,252,252,252,252,252,252,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,132,252,252,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,255,0,0,0,255,0,0,255,0,0,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,253,0,253,0,0,126,0,0,0,252,252,252,253,140,140,0,0,55,0,0,0,0,0,0,0,0,0,0,0,252,57,57,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
